epoch,step,train_loss_epoch,train_loss_step
0,49,,1.0696845054626465
0,99,,1.0125102996826172
0,149,,0.95268315076828
0,199,,0.9493359923362732
0,249,,0.9188737869262695
0,292,0.9906745553016663,
1,299,,0.9091988801956177
1,349,,0.9562304615974426
1,399,,0.9032866954803467
1,449,,0.9725432395935059
1,499,,0.8829162120819092
1,549,,0.8886973857879639
1,585,0.9127755761146545,
2,599,,0.8561763167381287
2,649,,0.865363359451294
2,699,,0.8455041646957397
2,749,,0.9108179807662964
2,799,,0.86756831407547
2,849,,0.8794904947280884
2,878,0.8749681115150452,
3,899,,0.886756420135498
3,949,,0.8598066568374634
3,999,,0.879096508026123
3,1049,,0.8513632416725159
3,1099,,0.8619319200515747
3,1149,,0.8326249718666077
3,1171,0.8588542938232422,
4,1199,,0.8346276879310608
4,1249,,0.8778437376022339
4,1299,,0.8126911520957947
4,1349,,0.8192014098167419
4,1399,,0.9036625623703003
4,1449,,0.8838984370231628
4,1464,0.8535879850387573,
5,1499,,0.8459917902946472
5,1549,,0.8466796278953552
5,1599,,0.919242799282074
5,1649,,0.829088568687439
5,1699,,0.7983140349388123
5,1749,,0.8168500065803528
5,1757,0.8435289263725281,
6,1799,,0.8793143630027771
6,1849,,0.8511945009231567
6,1899,,0.8129501938819885
6,1949,,0.9088147282600403
6,1999,,0.8632252812385559
6,2049,,0.8235148191452026
6,2050,0.8403394818305969,
7,2099,,0.8303754329681396
7,2149,,0.86849045753479
7,2199,,0.7862621545791626
7,2249,,0.8281689286231995
7,2299,,0.8187348246574402
7,2343,0.8293876051902771,
8,2349,,0.8198593854904175
8,2399,,0.8065459132194519
8,2449,,0.8466057777404785
8,2499,,0.8193260431289673
8,2549,,0.8199045062065125
8,2599,,0.8045647740364075
8,2636,0.8286575675010681,
9,2649,,0.8004898428916931
9,2699,,0.807637095451355
9,2749,,0.8128622174263
9,2799,,0.7620846629142761
9,2849,,0.7917124629020691
9,2899,,0.8236737847328186
9,2929,0.8273473381996155,
